Type,Onset,Duration
Opto1,200.0,115.0
Opto1,140.0,100.0
Opto1,202.0,98.0
Opto1,0.25,1.75
Opto1,44.0,-3.0
Opto1,0.0,0.25
Opto1,1.0,-0.75
Opto1,100.0,-100.0
Opto1,2.0,138.0
Opto1,2100.0,-2100.0
Opto1,0.0,0.5
Opto1,0.25,-0.25
Opto1,1.0,-0.75
Opto1,0.0,1.0
Opto1,20.0,-20.0
Opto1,38.0,-38.0
Opto1,0.25,41.75
Opto1,1.0,39.5
Opto1,40.0,4.0
Opto1,0.5,-0.5
Opto1,0.0,0.25
Opto1,0.0,0.0
Opto1,40.25,0.75
Opto1,44.5,-4.5
Opto1,40.0,0.0
Opto1,1.0,-1.0
Opto1,0.25,-0.25
Opto1,2.5,-2.5
Opto1,2.0,2.0
Opto1,0.0,0.0
Opto1,0.25,100.25
Opto1,100.0,-98.5
Opto1,10.0,100.0
Opto1,100.0,-100.0
Opto1,10.0,90.0
Opto1,100.0,-100.0
Opto1,6.0,114.0
Opto1,110.25,-100.25
Opto1,10.0,0.0
Opto1,1.0,-1.0
Opto1,40.0,6.0
Opto1,40.0,10.0
Opto1,40.0,-30.0
Opto1,100.25,-90.25
Opto1,10.0,90.0
Opto1,102.0,-102.0
Opto1,0.0,140.0
Opto1,140.0,-99.0
Opto1,40.0,60.0
Opto1,100.0,-100.0
Opto1,0.25,-0.25
Opto1,0.0,11.0
Opto1,0.25,9.75
Opto1,0.0,0.0
Opto1,0.0,0.0
Opto1,0.0,2.0
Opto1,0.0,200.0
Opto1,200.0,0.0
Opto1,12.0,188.0
Opto1,206.0,-6.0
Opto1,2.25,197.75
Opto1,200.0,-199.5
Opto1,0.25,10.0
Opto1,0.0,12.0
Opto1,0.0,10.0
Opto1,40.0,0.0
Opto1,0.0,5.0
Opto1,0.0,0.0
Opto1,0.0,200.0
Opto1,200.0,0.5
Opto1,242.0,-2.0
Opto1,0.25,-0.25
Opto1,10.25,-9.25
Opto1,1.0,0.0
Opto1,0.0,0.0
Opto1,0.0,0.0
Opto1,200.0,0.5
Opto1,102.0,-2.0
Opto1,200.0,0.0
Opto1,100.0,-100.0
Opto1,0.0,2.0
Opto1,0.25,-0.25
Opto1,0.0,0.0
Opto1,8010.0,-10.0
Opto1,8040.0,0.0
Opto1,8040.0,-38.0
Opto1,100.0,100.0
Opto1,200.0,140.0
Opto1,140.25,100.25
Opto1,241.0,103.5
Opto1,100.0,100.0
Opto1,0.25,0.0
Opto1,0.5,3.5
Opto1,0.5,-0.5
Opto1,0.0,4.25
Opto1,0.0,0.0
Opto1,0.0,4.0
Opto1,1.0,4.0
Opto1,0.25,-0.25
Opto1,0.0,0.0
Opto1,0.0,0.0
Opto1,0.0,3.5
Opto1,0.0,0.0
Opto1,0.25,-0.25
Opto1,0.0,1.0
Opto1,0.0,44.0
Opto1,40.0,0.25
Opto1,40.75,-40.75
Opto1,3.0,-1.5
Opto1,10.0,0.0
Opto1,10.0,90.0
Opto1,102.0,-102.0
Opto1,1.25,98.75
Opto1,100.0,-99.5
Opto1,400.25,0.75
Opto1,0.5,-0.25
Opto1,0.0,10.0
Opto1,10.5,-10.5
Opto1,10.0,-10.0
Opto1,100.0,-100.0
Opto1,101.0,-91.0
Opto1,0.0,140.0
Opto1,143.0,-92.0
Opto1,40.0,100.0
Opto1,100.0,-98.75
Opto1,400.25,-0.25
Opto1,10.0,-10.0
Opto1,0.0,2.0
Opto1,0.0,0.5
Opto1,1.0,11.5
Opto1,0.0,0.0
Opto1,0.5,-0.5
Opto1,200.0,0.0
Opto1,0.0,200.25
Opto1,200.0,0.25
Opto1,1.0,201.0
Opto1,200.0,0.0
Opto1,0.0,200.0
Opto1,400.0,0.0
Opto1,1.0,-1.0
Opto1,0.0,0.0
Opto1,40.0,1.0
Opto1,40.0,10.25
Opto1,40.25,-39.75
Opto1,200.0,0.0
Opto1,0.5,199.75
Opto1,200.0,-160.0
Opto1,4040.5,-40.5
Opto1,4004.75,7.75
Opto1,4004.0,6.0
Opto1,104.75,95.25
Opto1,232.5,68.5
Opto1,1140.25,99.75
Opto1,1242.5,58.75
Opto1,10102.5,97.5
Opto1,10400.0,1.5
Opto1,11000.25,0.75
Opto1,11000.0,6.25
Opto1,10040.0,0.25
Opto1,10040.0,-39.25
Opto1,11000.0,4.5
Opto1,12210.5,110.25
Opto1,14100.0,104.5
Opto1,14210.0,134.5
Opto1,14121.0,83.25
Opto1,14200.0,201.25
Opto1,16001.75,-1.75
Opto1,16000.25,2.25
Opto1,16000.0,7.0
Opto1,16010.0,34.0
Opto1,10020.75,-17.75
Opto1,10000.0,104.25
Opto1,11100.0,148.0
Opto1,11240.75,103.5
Opto1,100.25,102.75
Opto1,210.0,192.0
Opto1,1011.0,-5.5
Opto1,1430.0,-23.75
Opto1,2110.75,-110.5
Opto1,2000.5,4.75
Opto1,3001.0,0.25
Opto1,3040.0,2.0
Opto1,4050.0,-49.0
Opto1,4040.0,-40.0
Opto1,5010.0,-9.5
Opto1,210.0,94.5
Opto1,127.0,114.75
Opto1,216.0,124.75
Opto1,140.25,110.25
Opto1,210.5,99.5
Opto1,8000.0,7.5
Opto1,8410.0,0.5
Opto1,8011.0,-0.5
Opto1,8010.25,-0.25
Opto1,10040.5,1.5
Opto1,10040.25,16.75
Opto1,10050.5,-36.5
Opto1,10000.0,100.0
Opto1,10209.0,105.0
Opto1,11100.0,110.0
Opto1,11204.5,137.5
Opto1,10141.0,119.0
Opto1,10246.0,104.0
Opto1,11100.0,110.25
Opto1,11000.0,12.25
Opto1,10004.75,5.75
Opto1,10004.0,38.25
Opto1,11042.0,-1.5
Opto1,11040.25,-30.25
Opto1,18006.5,-5.75
Opto1,18000.25,2311.75
Opto1,20103.0,108.25
Opto1,20240.0,110.0
Opto1,144.25,98.75
Opto1,241.5,58.75
Opto1,106.75,104.0
Opto1,401.25,-0.25
Opto1,1.0,-0.75
Opto1,6.5,4.0
Opto1,5.0,45.0
Opto1,44.0,-3.5
Opto1,0.25,0.75
Opto1,0.25,99.75
Opto1,1201.0,109.0
Opto1,100.5,140.5
Opto1,243.25,96.75
Opto1,1140.25,60.5
Opto1,1401.5,-1.5
Opto1,4.25,1.5
Opto1,5.0,7.0
Opto1,1044.5,5.5
Opto1,1041.0,-40.75
Opto1,101.25,-98.75
Opto1,5.0,135.0
Opto1,105.5,95.0
Opto1,204.25,95.75
Opto1,2141.0,100.75
Opto1,2240.0,111.25
Opto1,2105.0,95.0
Opto1,2404.0,46.0
Opto1,0.75,-0.75
Opto1,0.0,10.0
Opto1,40.75,-38.75
Opto1,41.25,-0.75
Opto1,2040.0,0.75
Opto1,2043.0,-34.0
Opto1,2000.25,0.75
Opto1,3202.25,98.25
Opto1,101.0,99.0
Opto1,240.5,100.0
Opto1,1141.25,100.25
Opto1,1240.25,107.75
Opto1,102.0,-97.5
Opto1,1.0,4.0
Opto1,1001.0,39.0
Opto1,1040.0,8.5
Opto1,2040.5,4.75
Opto1,2040.0,66.5
Opto1,3100.5,-100.5
Opto1,201.25,102.75
Opto1,4118.0,128.5
Opto1,4209.75,90.25
Opto1,4100.75,101.5
Opto1,4010.0,-9.0
Opto1,4030.0,-25.75
Opto1,4008.0,32.25
Opto1,4020.0,-20.0
Opto1,1.25,4.25
Opto1,1100.25,100.0
Opto1,1201.0,104.25
Opto1,140.5,100.5
Opto1,221.0,83.5
Opto1,1100.5,100.75
Opto1,1401.5,39.75
Opto1,10.5,-10.5
Opto1,31.0,9.0
Opto1,1021.0,-17.0
Opto1,1000.25,0.5
Opto1,4101.0,-101.0
Opto1,4101.0,100.25
Opto1,4222.0,116.0
Opto1,6100.5,143.5
Opto1,6217.25,122.75
Opto1,6100.0,100.0
Opto1,6400.0,40.5
Opto1,20.0,-19.75
Opto1,20.0,-20.0
Opto1,14.0,29.25
Opto1,21.75,20.25
Opto1,20006.25,-5.25
Opto1,20010.0,-9.75
Opto1,21100.0,100.0
Opto1,21210.25,140.25
Opto1,22150.5,100.5
Opto1,22210.5,100.25
Opto1,23001.0,0.0
Opto1,23000.5,7.5
Opto1,24040.25,0.25
Opto1,24050.0,0.0
Opto1,25010.25,3.75
Opto1,25001.5,124.0
Opto1,20110.25,99.75
Opto1,20201.5,98.5
Opto1,20140.0,100.0
Opto1,20240.0,100.0
Opto1,28152.25,61.5
Opto1,28212.0,206.75
Opto1,28010.0,2.0
Opto1,28001.0,0.0
Opto1,20042.0,4.5
Opto1,20040.5,17.5
Opto1,20070.0,-55.0
Opto1,20002.25,115.75
Opto1,20110.0,100.0
Opto1,20210.0,103.0
Opto1,21111.0,136.25
Opto1,21240.25,104.25
Opto1,20140.0,111.0
Opto1,20210.5,99.5
Opto1,21010.0,6.0
Opto1,20000.5,30.5
Opto1,20049.5,2.0
Opto1,21040.5,0.0
Opto1,21001.25,8.75
Opto1,28100.0,-96.0
Opto1,30205.5,98.5
Opto1,30101.0,100.0
Opto1,30204.0,106.25
Opto1,140.5,100.0
Opto1,240.0,60.5
Opto1,101.5,-101.5
Opto1,404.5,6.5
Opto1,0.5,10.0
Opto1,5.75,4.25
Opto1,45.0,-3.5
Opto1,0.0,0.0
Opto1,0.0,10.25
Opto1,3.75,96.25
Opto1,102.25,-102.25
Opto1,1200.0,107.0
Opto1,101.5,100.5
Opto1,241.0,60.0
Opto1,1140.0,100.0
Opto1,1201.5,98.5
Opto1,2.5,-2.25
Opto1,0.5,-0.5
Opto1,1001.0,39.0
Opto1,1040.0,4.0
Opto1,10040.5,3.5
Opto1,10030.0,-28.75
Opto1,11101.0,9.25
Opto1,10210.0,92.25
Opto1,12100.0,144.5
Opto1,12211.0,131.0
Opto1,12130.25,70.5
Opto1,12016.0,32.25
Opto1,10010.0,33.25
Opto1,10040.5,-40.5
Opto1,10000.0,18.0
Opto1,10000.5,110.25
Opto1,12110.0,-100.0
Opto1,12040.75,119.25
Opto1,13100.5,110.5
Opto1,13200.5,139.5
Opto1,10141.0,104.5
Opto1,10240.0,115.0
Opto1,11149.25,62.5
Opto1,11409.0,2.0
Opto1,20000.75,15.25
Opto1,21009.25,2.25
Opto1,21000.25,39.75
Opto1,22040.0,0.5
Opto1,22000.25,0.25
Opto1,23001.0,14.5
Opto1,24100.75,110.0
Opto1,24201.5,110.5
Opto1,24148.5,102.0
Opto1,24240.25,59.75
Opto1,24102.5,108.25
Opto1,24206.25,204.75
Opto1,24010.0,-10.0
Opto1,24000.0,10.5
Opto1,20005.0,35.0
Opto1,20042.0,-1.5
Opto1,20001.5,-0.25
Opto1,20006.0,4.5
Opto1,30100.25,6.75
Opto1,30200.5,101.0
Opto1,31104.0,108.0
Opto1,31241.5,110.5
Opto1,30144.0,116.0
Opto1,30200.0,100.25
Opto1,31104.25,-104.25
Opto1,34000.0,0.25
Opto1,34043.0,7.0
Opto1,35040.0,-39.75
Opto1,35000.0,101.0
Opto1,34100.0,0.0
Opto1,36202.0,98.0
Opto1,36101.0,119.5
Opto1,36240.5,107.5
Opto1,30140.25,60.0
Opto1,30200.0,203.0
Opto1,30000.0,0.0
Opto1,30000.0,41.0
Opto1,40.0,0.25
Opto1,40.0,5.0
Opto1,1.0,1.0
Opto1,0.5,104.75
Opto1,2018.5,181.5
Opto1,2210.75,110.5
Opto1,3130.0,110.5
Opto1,3219.0,122.25
Opto1,4140.0,106.5
Opto1,4211.25,90.25
Opto1,5000.0,1.0
Opto1,5010.0,-9.75
Opto1,6010.0,-9.75
Opto1,6030.5,9.5
Opto1,7021.0,22.25
Opto1,7030.25,29.75
Opto1,10.5,-6.5
Opto1,10.25,95.25
Opto1,8018.0,183.0
Opto1,8230.75,70.25
Opto1,10105.5,138.0
Opto1,10220.5,124.25
Opto1,10130.0,110.5
Opto1,10210.5,194.25
Opto1,10100.0,-96.0
Opto1,10000.0,22.25
Opto1,10000.0,41.0
Opto1,10040.0,6.25
Opto1,10040.0,-40.0
Opto1,10001.5,-1.5
Opto1,10100.25,-100.25
Opto1,11202.0,98.25
Opto1,10100.5,107.5
Opto1,10200.0,140.5
Opto1,11141.0,106.25
Opto1,11240.0,60.0
Opto1,18100.5,180.5
Opto1,18401.25,1.75
Opto1,19100.0,-94.0
Opto1,19000.0,4.5
Opto1,31.75,8.25
Opto1,10.25,34.75
Opto1,1020.25,-20.25
Opto1,1010.5,-9.5
Opto1,101.25,-99.75
Opto1,200.0,106.0
Opto1,108.5,111.5
Opto1,230.0,71.0
Opto1,100.25,140.5
Opto1,230.0,110.0
Opto1,104.5,-103.5
Opto1,12.25,-11.0
Opto1,21.0,-21.0
Opto1,12.25,27.75
Opto1,32.0,-32.0
Opto1,3.0,97.25
Opto1,100.0,-59.75
Opto1,210.0,90.25
Opto1,1102.0,138.0
Opto1,1240.5,109.75
Opto1,151.25,98.75
Opto1,250.0,50.5
Opto1,1002.0,-1.75
Opto1,1400.0,11.0
Opto1,0.0,0.25
Opto1,40.0,0.0
Opto1,1050.25,-0.25
Opto1,1000.5,10.75
Opto1,50.75,-50.75
Opto1,10.5,95.5
Opto1,201.5,108.5
Opto1,2106.0,94.0
Opto1,2243.25,98.0
Opto1,2140.0,100.0
Opto1,2245.0,107.0
Opto1,141.0,70.25
Opto1,404.25,-3.25
Opto1,0.0,11.0
Opto1,5.0,-3.25
Opto1,44.0,-1.5
Opto1,41.0,0.5
Opto1,40.0,-30.0
Opto1,2101.0,47.25
Opto1,2204.0,97.0
Opto1,3144.0,96.25
Opto1,3240.0,121.0
Opto1,143.0,57.0
Opto1,202.25,98.0
Opto1,1103.0,-95.0
Opto1,1000.75,1.0
Opto1,2000.0,10.25
Opto1,2041.0,9.0
Opto1,3044.0,-43.0
Opto1,3001.5,8.75
Opto1,0.0,0.0
Opto1,209.75,100.75
Opto1,120.0,84.25
Opto1,240.0,110.5
Opto1,144.0,57.0
Opto1,204.0,106.75
Opto1,0.0,0.0
Opto1,0.0,1.0
Opto1,0.25,10.25
Opto1,42.5,-1.5
Opto1,43.75,6.0
Opto1,4.0,-3.25
Opto1,4000.5,1.0
Opto1,5100.5,99.5
Opto1,5204.5,106.5
Opto1,4140.25,109.75
Opto1,4245.0,96.0
Opto1,5104.0,98.25
Opto1,5201.0,200.0
Opto1,4.25,5.75
Opto1,1004.0,22.5
Opto1,1001.0,40.0
Opto1,40046.0,4.0
Opto1,40040.25,10.5
Opto1,41004.75,-3.75
Opto1,41002.25,98.25
Opto1,42101.25,99.75
Opto1,42201.75,108.25
Opto1,42144.25,106.25
Opto1,42205.0,96.0
Opto1,44001.25,-1.25
Opto1,44410.0,-9.0
Opto1,44005.0,-4.0
Opto1,44001.5,38.5
Opto1,46044.25,6.75
Opto1,46040.0,10.25
Opto1,46000.0,10.0
Opto1,46004.5,105.5
Opto1,40104.25,96.25
Opto1,40201.0,139.0
Opto1,41140.75,109.25
Opto1,41240.0,122.0
Opto1,40144.0,66.25
Opto1,40200.0,201.0
Opto1,41000.25,39.75
Opto1,42042.0,-2.0
Opto1,42042.25,-41.5
Opto1,43002.0,6.5
Opto1,43001.5,2.75
Opto1,40140.5,99.5
Opto1,40240.0,62.0
Opto1,40100.25,-96.25
Opto1,40421.0,-19.75
Opto1,40031.5,13.5
Opto1,40002.5,-2.25
Opto1,40000.75,3.5
Opto1,48001.5,38.5
Opto1,48042.0,6.0
Opto1,48000.0,0.25
Opto1,48000.0,0.0
Opto1,40110.0,90.75
Opto1,40201.0,140.0
Opto1,41140.0,100.5
Opto1,41201.0,199.0
Opto1,40001.0,-1.0
Opto1,40001.0,5.25
Opto1,41000.5,39.5
Opto1,41040.25,-0.25
Opto1,40030.0,-25.0
Opto1,40000.0,104.25
Opto1,41110.25,1.0
Opto1,40220.75,79.25
Opto1,40130.25,109.75
Opto1,40212.0,128.25
Opto1,40130.0,114.0
Opto1,40204.5,98.0
Opto1,40000.5,4.25
Opto1,40408.5,-2.25
Opto1,40008.5,-8.5
Opto1,40020.25,-15.75
Opto1,50040.0,2.75
Opto1,50010.0,31.25
Opto1,50035.5,-35.5
Opto1,50000.0,104.25
Opto1,50108.5,31.5
Opto1,50211.25,90.25
Opto1,51121.5,82.5
Opto1,51200.25,140.75
Opto1,50101.0,144.5
Opto1,50230.5,113.5
Opto1,51108.0,-103.5
Opto1,50010.25,-6.25
Opto1,50020.0,-19.5
Opto1,51000.0,44.25
Opto1,51011.0,31.0
Opto1,50030.5,-29.5
Opto1,50012.25,90.0
Opto1,50102.0,108.0
Opto1,50212.75,96.25
Opto1,140.0,106.0
Opto1,240.5,122.5
Opto1,151.25,98.75
Opto1,212.0,100.5
Opto1,2010.0,0.25
Opto1,2041.75,8.25
Opto1,2050.0,0.5
Opto1,1.25,2.75
Opto1,0.0,14.5
Opto1,1107.25,104.75
Opto1,1200.0,140.0
Opto1,2140.0,100.0
Opto1,2240.75,109.25
Opto1,3100.0,100.0
Opto1,3205.0,105.0
Opto1,0.0,10.25
Opto1,0.0,1.0
Opto1,1001.0,0.25
Opto1,1000.25,3.75
Opto1,10008.25,31.75
Opto1,10023.5,18.25
Opto1,11086.0,-75.75
Opto1,11014.5,86.0
Opto1,10114.0,86.0
Opto1,10233.25,67.75
Opto1,10112.5,130.75
Opto1,10200.0,104.25
Opto1,14100.5,99.5
Opto1,14411.25,-6.0
Opto1,14010.0,-10.0
Opto1,14034.75,-31.75
Opto1,14014.0,36.25
Opto1,14020.0,-19.25
Opto1,14100.0,-100.0
Opto1,10100.5,105.0
Opto1,10200.5,99.5
Opto1,11141.25,113.75
Opto1,11240.0,110.0
Opto1,101.0,110.5
Opto1,6.25,6.5
Opto1,1005.0,22.0
Opto1,1001.75,38.25
Opto1,41.0,9.0
Opto1,0.0,0.5
Opto1,1000.0,0.0
Opto1,1004.25,105.75
Opto1,4100.0,100.0
Opto1,4201.0,140.0
Opto1,4140.0,100.0
Opto1,4242.25,108.75
Opto1,6100.25,110.25
Opto1,6401.0,4.0
Opto1,6004.5,5.5
Opto1,6000.25,9.75
Opto1,40.75,-0.75
Opto1,44.5,6.25
Opto1,104.25,-103.75
Opto1,1.0,109.0
Opto1,10100.5,109.75
Opto1,10201.0,109.0
Opto1,11144.0,96.5
Opto1,11244.0,116.0
Opto1,12140.0,60.5
Opto1,12202.0,198.0
Opto1,13001.0,3.0
Opto1,13000.0,2.0
Opto1,14000.0,40.25
Opto1,14023.0,18.0
Opto1,15027.5,-27.5
Opto1,15010.0,-9.75
Opto1,10100.0,100.0
Opto1,10218.0,102.5
Opto1,10130.0,74.25
Opto1,10200.5,140.0
Opto1,18120.75,119.25
Opto1,18200.0,103.75
Opto1,18110.5,-109.75
Opto1,18001.0,-1.0
Opto1,12.0,-2.0
Opto1,50.0,1.0
Opto1,40.0,8.0
Opto1,2.5,-2.5
Opto1,81.25,-81.25
Opto1,0.0,114.5
Opto1,1108.25,91.75
Opto1,1200.0,110.0
Opto1,140.5,109.5
Opto1,249.0,91.75
Opto1,1140.0,64.5
Opto1,1200.25,200.25
Opto1,0.25,11.75
Opto1,0.5,6.5
Opto1,1000.0,30.25
Opto1,1040.5,0.25
Opto1,8040.25,14.25
Opto1,8050.25,2.25
Opto1,9100.0,-97.0
Opto1,9000.5,113.5
Opto1,20109.0,92.0
Opto1,20200.25,103.75
Opto1,20140.75,100.25
Opto1,20241.25,110.5
Opto1,20144.75,105.25
Opto1,20200.0,183.5
Opto1,20004.0,6.0
Opto1,20005.0,5.25
Opto1,20005.25,-3.75
Opto1,20040.5,0.0
